,time,price,text,path,value,group,time1,time2
28,1546209555.829126,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,60.040759801864624,60
29,1546209555.890413,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,60.102046966552734,60
30,1546209555.950232,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,60.16186594963074,60
31,1546209561.053758,102,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,65.26539182662964,60
32,1546209561.1065881,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,65.31822204589844,60
33,1546209567.194613,102,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,71.40624690055847,80
34,1546209572.4107401,102,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,76.62237405776978,80
35,1546209572.515969,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,76.7276029586792,80
36,1546209577.6713886,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,81.88302254676819,80
37,1546209577.7716038,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,81.98323774337769,80
38,1546209582.866405,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,87.07803893089294,80
39,1546209583.9368582,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,88.14849209785461,80
40,1546209584.032804,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,88.24443793296814,80
41,1546209584.0823624,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,88.29399633407593,80
42,1546209584.12593,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,88.33756399154663,80
43,1546209584.148847,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,88.36048102378845,80
44,1546209589.437975,102,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,93.64960885047913,100
45,1546209589.508508,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,93.7201418876648,100
46,1546209589.550914,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,93.76254796981812,100
47,1546209594.7016716,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,98.91330552101135,100
48,1546209594.759966,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,98.971599817276,100
49,1546209600.722599,102,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,104.93423295021057,100
50,1546209605.883328,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,110.09496188163757,120
51,1546209611.0593238,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,115.27095770835876,120
52,1546209616.2129052,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,120.42453908920288,120
53,1546209621.3434591,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,125.55509305000305,120
54,1546209626.470628,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,130.68226194381714,140
55,1546209631.6320221,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,135.84365606307983,140
56,1546209646.8524532,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,151.06408715248108,160
57,1546209651.982358,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,156.19399189949036,160
58,1546209657.0856779,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,161.2973117828369,160
59,1546209657.1244748,101,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,161.3361086845398,160
60,1546209717.5820851,122,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,221.79371905326843,220
61,1546209722.162718,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,226.374351978302,220
62,1546209722.2401862,121,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,226.45182013511658,220
63,1546209727.4606779,122,('127.0.0.1',/tmp/consumer_bc756ed3ac9bb6dc5d604f693fa33f2b_134_1546209494.5894358_-1_3_log.csv,134,3,231.6723117828369,240
