,time,price,hash,spot,value,delta
1,15.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54331_1546209495.983697_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54538_1546209499.3449721_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54446_1546209498.075449_log.csv,138,37
1,16.0,101,6dab75feb234caa97e99184df769abd7,/tmp/spot101_54364_1546209496.641966_log.csv,133,32
1,16.0,101,ef0aaba733310d7f9066e4fa790d02f3,/tmp/spot101_54541_1546209499.345094_log.csv,129,28
1,16.0,101,b6ee024b243b018599addd719365f00b,/tmp/spot101_54609_1546209500.138896_log.csv,132,31
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54402_1546209497.350789_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54337_1546209496.033646_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54373_1546209496.9164748_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54367_1546209496.7271008_log.csv,138,37
1,16.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_54382_1546209496.958436_log.csv,138,37
0,17.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55292_1546209510.312381_log.csv,134,33
0,17.0,101,cd529cd87600d51379152c7906965554,/tmp/spot101_55058_1546209507.104716_log.csv,118,17
0,17.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54458_1546209498.319447_log.csv,121,20
0,17.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_54444_1546209498.028312_log.csv,124,23
1,17.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54473_1546209498.4223192_log.csv,116,15
0,17.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54642_1546209500.683987_log.csv,134,33
0,17.0,101,cd529cd87600d51379152c7906965554,/tmp/spot101_54714_1546209501.556725_log.csv,118,17
0,17.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_55151_1546209508.3465211_log.csv,123,22
0,17.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54736_1546209501.918585_log.csv,134,33
0,17.0,101,cd529cd87600d51379152c7906965554,/tmp/spot101_54524_1546209498.93909_log.csv,118,17
1,17.0,101,ef0aaba733310d7f9066e4fa790d02f3,/tmp/spot101_54406_1546209497.424886_log.csv,129,28
0,17.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_55386_1546209511.796971_log.csv,124,23
0,17.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55024_1546209506.457151_log.csv,134,33
0,17.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54796_1546209502.880352_log.csv,134,33
0,17.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54760_1546209502.438784_log.csv,123,22
0,18.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55156_1546209508.465462_log.csv,134,33
0,18.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54818_1546209503.2819881_log.csv,119,18
0,18.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54933_1546209504.9836211_log.csv,121,20
0,18.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55109_1546209507.9094248_log.csv,134,33
1,18.0,101,28fafb6d8bc012fc30db876992ebc8e3,/tmp/spot101_54544_1546209499.575916_log.csv,102,1
0,18.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54866_1546209504.146105_log.csv,123,22
0,18.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54689_1546209501.172866_log.csv,121,20
1,18.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54529_1546209499.006541_log.csv,116,15
0,18.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_55359_1546209511.188549_log.csv,119,18
1,19.0,101,d4261195807c4ef84656c60a01a7d0df,/tmp/spot101_54518_1546209498.934805_log.csv,115,14
1,19.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54613_1546209500.2420712_log.csv,134,33
1,19.0,101,197ee8948d527da0a852e8f1f0661ff0,/tmp/spot101_54625_1546209500.3033128_log.csv,103,2
1,19.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54414_1546209497.5252302_log.csv,101,0
1,19.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_54494_1546209498.7875001_log.csv,124,23
1,19.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54576_1546209499.5223382_log.csv,119,18
1,19.0,101,cd529cd87600d51379152c7906965554,/tmp/spot101_54498_1546209498.790106_log.csv,118,17
1,19.0,101,e84a1cdab13c94e86c3796311ec2a4fa,/tmp/spot101_54646_1546209500.6871529_log.csv,114,13
1,19.0,101,2b01d80d81949280c9c70ba79e915369,/tmp/spot101_54442_1546209498.024516_log.csv,137,36
1,19.0,101,222d705bfad32733d2800c7945883532,/tmp/spot101_54349_1546209496.406235_log.csv,140,39
1,19.0,101,45b5ed9bf82d0d562850c3c30acff9a9,/tmp/spot101_54550_1546209499.4074628_log.csv,135,34
1,19.0,101,99e83a03703108ad696653458d9e6cb9,/tmp/spot101_54482_1546209498.5338361_log.csv,136,35
1,19.0,101,a9973ac141936003c5fc4313517be44a,/tmp/spot101_54563_1546209499.4464781_log.csv,106,5
0,20.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54798_1546209502.961501_log.csv,101,0
0,20.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54923_1546209504.951914_log.csv,116,15
0,20.0,101,2b01d80d81949280c9c70ba79e915369,/tmp/spot101_55486_1546209513.226602_log.csv,137,36
0,20.0,101,222d705bfad32733d2800c7945883532,/tmp/spot101_55208_1546209509.178009_log.csv,140,39
0,20.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54742_1546209502.058936_log.csv,101,0
